"Gene1","Gene2","Weight"
"MYLK-AS2","SEMA3G",0.258933066583615
"ENSG00000258691","SEMA3G",0.270081609312566
"AVPR2","SEMA3G",0.310245759035436
"ENSG00000249772","SEMA3G",0.291501351118992
"ENSG00000214578","SEMA3G",0.299220259232804
"N4BP3","SEMA3G",0.279668223455399
"ENSG00000259124","SEMA3G",0.269810712363044
"CILP","SEMA3G",0.260614122409252
"FCN3","SEMA3G",0.336774404228542
"ENSG00000226252","SEMA3G",0.280267732731082
"DHH","SEMA3G",0.281733861074371
"TPO","SEMA3G",0.297124908368845
"TFF3","SEMA3G",0.318204341729054
"COL17A1","SEMA3G",0.305104495692132
"LCN6","SEMA3G",0.315294719291254
"ENSG00000204003","SEMA3G",0.350965280377394
"TUBAL3","HAGLR",0.277443676205125
"ENSG00000205018","HAGLR",0.256697614508999
"LCN10","HAGLR",0.282435107967219
"LINC01117","HAGLR",0.25304355975274
"EFCC1","HAGLR",0.277701235269628
"MYCN","HAGLR",0.263658272085738
"AVPR2","HAGLR",0.269209421345561
"FCN3","HAGLR",0.315790128113548
"TFF3","HAGLR",0.262178865530931
"COL17A1","HAGLR",0.295401792598369
"LCN6","HAGLR",0.297446679284339
"ENSG00000204003","HAGLR",0.33076320636424
"SEMA3G","HAGLR",0.320497449494348
"TRAT1","CD40LG",0.284675071662089
"IFNG","CD40LG",0.250502518668104
"UBASH3A","CD40LG",0.259727701113304
"P2RY10","CD40LG",0.287309894594343
"XCL2","CD40LG",0.250886039554661
"ICOS","CD40LG",0.266479315815926
"CXCR3","CD40LG",0.26231006088983
"ENSG00000235576","CD40LG",0.269044955626718
"COL17A1","HOXD3",0.261390438270948
"LCN6","HOXD3",0.27259388241698
"ENSG00000204003","HOXD3",0.27567701834024
"SEMA3G","HOXD3",0.261145191499931
"LINC01915","ADAMTS18",0.264653442115053
"ENSG00000277489","ADAMTS18",0.271762009138639
"MIR126","ADAMTS18",0.271335281959006
"TUBAL3","ADAMTS18",0.26862881367699
"ENSG00000280032","ADAMTS18",0.281036049919668
"EFCC1","ADAMTS18",0.253192521296103
"GATA5","ADAMTS18",0.256751033682505
"HOXD1","ADAMTS18",0.293967514600794
"LOC441179","ADAMTS18",0.250457366057616
"ENSG00000227160","ADAMTS18",0.254379258902918
"GDF3","ADAMTS18",0.287812049424958
"MYCN","ADAMTS18",0.250153679717866
"SLC6A3","ADAMTS18",0.304553060164809
"MYLK-AS2","ADAMTS18",0.270957231405989
"AVPR2","ADAMTS18",0.257421461207967
"FCN3","ADAMTS18",0.299570000641403
"DHH","ADAMTS18",0.294490644451011
"TFF3","ADAMTS18",0.281601951884833
"COL17A1","ADAMTS18",0.275338891803168
"LCN6","ADAMTS18",0.351506687664012
"ENSG00000204003","ADAMTS18",0.351284385738079
"SEMA3G","ADAMTS18",0.293493493332124
