Regulator	Target	MI
LINC00862	ADGRG5	1.2293362159076602
LINC00862	ENSG00000236935	1.2293362159076602
LINC00862	ENSG00000233586	1.2293362159076602
LINC00862	ENSG00000274478	1.2293362159076602
ENSG00000236549	RPL21P16	1.2293362159076602
ENSG00000236549	LGALS12	1.2293362159076602
ENSG00000236549	CHRDL1	1.2293362159076602
ENSG00000236549	RPL27P1	1.2293362159076602
ENSG00000249852	IFNA20P	1.3792922544726756
ENSG00000249852	ENSG00000266579	1.3792922544726756
ENSG00000249852	ENSG00000226205	1.3792922544726756
ENSG00000249852	LINC00239	1.2293362159076602
ENSG00000249852	ENSG00000230035	1.2293362159076602
ENSG00000249852	ZFY	1.3792922544726756
FAM216B	GAPDHP47	1.2293362159076602
FAM216B	ENSG00000275915	1.2293362159076602
RAB44	ENSG00000227644	1.2293362159076602
RAB44	KRTAP1-5	1.2293362159076602
RAB44	SERPINB5	1.2293362159076602
E2F3-IT1	IGKJ4	1.2293362159076602
ADORA1	MYBPC3	1.3792922544726756
ADORA1	ENSG00000261795	1.3792922544726756
ADORA1	LOC646870	1.3792922544726756
ADORA1	C11orf94	1.2293362159076602
ADORA1	CRYGN	1.2293362159076602
ADORA1	ENSG00000280269	1.2293362159076602
ADORA1	RPRML	1.2293362159076602
ADORA1	ENSG00000230063	1.2293362159076602
ADORA1	ENSG00000270255	1.3792922544726756
ADORA1	KPNA4P1	1.3792922544726756
ADORA1	ENSG00000249852	1.3792922544726756
ADORA1	INS	1.2293362159076602
ENSG00000224207	LOC390846	1.2293362159076602
ENSG00000224207	TMPRSS11A	1.2293362159076602
ENSG00000224207	ENSG00000256250	1.3792922544726756
ENSG00000224207	PIK3CD-AS1	1.2293362159076602
ENSG00000224207	ADH1C	1.2293362159076602
ENSG00000224207	ENSG00000279074	1.2293362159076602
ENSG00000224207	SLC39A12	1.2293362159076602
ENSG00000224207	CLCN1	1.3792922544726756
ENSG00000224207	OR52H2P	1.2293362159076602
ENSG00000224207	ZBTB44-DT	1.3792922544726756
ENSG00000224207	INHA	1.2293362159076602
ENSG00000224207	MAPK10-AS1	1.2293362159076602
ENSG00000224207	MIR5188	1.3792922544726756
ENSG00000232194	LRRIQ3	1.2293362159076602
LINC01583	ENSG00000226920	1.3792922544726756
ENSG00000257231	ENSG00000280110	1.2293362159076602
GPR79	ENSG00000227644	1.2293362159076602
GPR79	KRTAP1-5	1.2293362159076602
GPR79	SERPINB5	1.2293362159076602
ENSG00000279042	TREML2	1.2293362159076602
ENSG00000249746	ENSG00000249678	1.2293362159076602
PSME2P3	EIF1AX-AS1	1.2293362159076602
CXorf65	ENSG00000258976	1.2293362159076602
OR2AT1P	ENSG00000271857	1.2293362159076602
ERCC-00137	RN7SL187P	1.3792922544726756
ERCC-00137	ENSG00000250290	1.3792922544726756
ENSG00000255080	IFNWP19	1.2293362159076602
ENSG00000199730	VPREB3	1.2293362159076602
ENSG00000199730	ENSG00000253755	1.2293362159076602
ENSG00000199730	MTND6P9	1.2293362159076602
ENSG00000199730	H2BC10	1.3792922544726756
ENSG00000199730	ENSG00000254165	1.3792922544726756
ENSG00000199730	MTCYBP32	1.3792922544726756
ENSG00000199730	NDUFAB1P1	1.3792922544726756
MTCYBP23	ERCC-00033	1.2293362159076602
ENSG00000272502	OR3A1	1.3792922544726756
ENSG00000259445	LINC00619	1.2293362159076602
ENSG00000259445	ENSG00000237004	1.2293362159076602
ENSG00000259445	LINC01132	1.2293362159076602
ENSG00000259445	ENSG00000228401	1.2293362159076602
ENSG00000259445	CHEK2P2	1.2293362159076602
ENSG00000259445	RPL36P10	1.3792922544726756
ENSG00000259445	ENSG00000273348	1.3792922544726756
ENSG00000259445	CPLX1	1.2293362159076602
ENSG00000259445	RN7SL827P	1.3792922544726756
ENSG00000259445	NUTM2B	1.3792922544726756
ENSG00000240710	ENSG00000251161	1.3792922544726756
ENSG00000280014	ENSG00000237058	1.2293362159076602
ENSG00000280014	ASS1P2	1.3792922544726756
ENSG00000280014	ENSG00000279719	1.2293362159076602
ENSG00000280014	ENSG00000260645	1.2293362159076602
ENSG00000280014	HUS1B	1.2293362159076602
ENSG00000280014	ENSG00000249746	1.2293362159076602
ENSG00000281467	ENSG00000229400	1.2293362159076602
LOC102724323	LOC390846	1.2293362159076602
LOC102724323	TMPRSS11A	1.2293362159076602
LOC102724323	ENSG00000256250	1.3792922544726756
LOC102724323	PIK3CD-AS1	1.2293362159076602
LOC102724323	ADH1C	1.2293362159076602
LOC102724323	ENSG00000279074	1.2293362159076602
LOC102724323	SLC39A12	1.2293362159076602
LOC102724323	CLCN1	1.3792922544726756
LOC102724323	OR52H2P	1.2293362159076602
LOC102724323	ZBTB44-DT	1.3792922544726756
LOC102724323	INHA	1.2293362159076602
LOC102724323	MAPK10-AS1	1.2293362159076602
LOC102724323	MIR5188	1.3792922544726756
