gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
IL21R	blue	0.907137184255568	104.097866459202	172.487336407997	0.830802603036876	TRUE
RNF125	blue	0.869109954989787	104.037298709427	142.816081488209	0.829718004338395	TRUE
BNIP3	blue	0.924852708388689	103.365171062188	197.314351471361	0.828633405639913	TRUE
CDC14A	blue	0.851377808699742	103.107735525263	143.282329489487	0.827548806941432	TRUE
FAM102A	blue	0.830853245411536	102.883916368137	150.107689627295	0.82646420824295	TRUE
PBXIP1	blue	0.882291200555136	102.630387025832	161.783974714099	0.825379609544469	TRUE
SYNE2	blue	0.830660125675663	102.481971218259	154.566740830611	0.824295010845987	TRUE
AL136962.1	blue	0.865048315867249	102.208526256499	119.370961795376	0.823210412147505	TRUE
TAFA1	blue	0.904677050285595	101.80930881112	133.738955468442	0.822125813449024	TRUE
DIP2C	blue	0.860160925066166	101.57685414701	129.635830024495	0.821041214750542	TRUE
USP20	blue	0.877934217254779	101.384769117758	175.614083908166	0.819956616052061	TRUE
RETREG1	blue	0.832392728424137	101.223610896711	125.972222261216	0.817787418655098	TRUE
KANK1	blue	0.840295950399496	101.094679645715	152.370031952176	0.816702819956616	TRUE
PCED1B-AS1	blue	0.852766718975454	100.97301021427	154.459215777233	0.815618221258134	TRUE
GATA3	blue	0.829595546667719	100.843529688028	122.378056313275	0.814533622559653	TRUE
AAK1	blue	0.868492411951188	100.735122641771	143.417541361353	0.813449023861171	TRUE
ZFYVE28	blue	0.771526036459671	100.531928036953	125.610080384156	0.81236442516269	TRUE
RGL4	blue	0.875445073744408	100.396167339935	123.218815421691	0.811279826464208	TRUE
LBH	blue	0.872003670937447	99.9122211046008	160.633652320721	0.810195227765727	TRUE
ITM2A	blue	0.851832415519854	99.5734331259402	120.25898645463	0.809110629067245	TRUE
THEM4	blue	0.864695905999152	99.4774979934629	140.315584930739	0.808026030368764	TRUE
PURA	blue	0.833792692256689	98.5994746973014	173.903032285927	0.806941431670282	TRUE
ADARB1	blue	0.905512038147588	98.5341566542428	187.585534702247	0.8058568329718	TRUE
TSEN2	blue	0.863812338278922	98.206084955744	149.415620109191	0.804772234273319	TRUE
ZNF573	blue	0.885414768703241	98.0149874208039	176.652602405205	0.803687635574837	TRUE
TXK	blue	0.862972884356927	97.9041120835148	126.567100139991	0.802603036876356	TRUE
LINC01089	blue	0.854282823649649	97.5000586877105	124.150031916681	0.801518438177874	TRUE
CDKN2AIP	blue	0.886723414463382	97.4739764143787	157.728463375874	0.800433839479393	TRUE
ZSWIM5	blue	0.834248405865711	97.0287890250434	150.744943564202	0.799349240780911	TRUE
AC044849.1	blue	0.886717395339143	96.9234637857163	151.86917475678	0.79826464208243	TRUE
