"id","module"
"JARID2","blue"
"KIF13A","blue"
"KDM1B","blue"
"RNF144B","blue"
"MBOAT1","blue"
"TDP2","turquoise"
"IER3","blue"
"LST1","blue"
"AIF1","blue"
"HSPA1A","blue"
"HLA-DRA","blue"
"HLA-DRB5","blue"
"HLA-DRB1","blue"
"HLA-DQA1","blue"
"HLA-DQB1","blue"
"HLA-DQA2","blue"
"HLA-DQB2","blue"
"HLA-DOB","yellow"
"HLA-DMB","blue"
"HLA-DMA","blue"
"HLA-DOA","blue"
"HLA-DPA1","blue"
"HLA-DPB1","blue"
"TAF11","turquoise"
"CDKN1A","blue"
"RAB44","blue"
"CPNE5","green"
"FGD2","blue"
"OARD1","turquoise"
"TREM1","blue"
"FOXP4","blue"
"VEGFA","blue"
"PLA2G7","blue"
"TNFRSF21","blue"
"DST","blue"
"ADGRB3","blue"
"COL19A1","yellow"
"FAM135A","blue"
"CD109","blue"
"TENT5A","blue"
"ME1","blue"
"AKIRIN2","blue"
"PNRC1","turquoise"
"RRAGD","blue"
"MAP3K7","turquoise"
"PNISR","turquoise"
"FOXO3","blue"
"MARCKS","blue"
"CALHM6","blue"
"NKAIN2","yellow"
"RNF217","blue"
"AL355581.1","brown"
"VNN1","blue"
"VNN3","blue"
"SGK1","blue"
"LINC01010","blue"
"PDE7B","blue"
"BCLAF1","turquoise"
"IFNGR1","blue"
"NHSL1","blue"
"PLAGL1","blue"
"STX11","blue"
"RAB32","blue"
"SASH1","blue"
"PLEKHG1","yellow"
"CCDC170","blue"
"SOD2","blue"
"QKI","blue"
"FAM20C","blue"
"ADAP1","blue"
"SNX8","blue"
"TTYH3","blue"
"AMZ1","blue"
"AC024028.1","brown"
"AHR","blue"
"HDAC9","blue"
"STEAP1B","yellow"
"IL6","blue"
"TRA2A","turquoise"
"SNX10","blue"
"SKAP2","blue"
"HOTAIRM1","blue"
"CREB5","blue"
"AC005162.3","blue"
"CPVL","blue"
"CHN2","blue"
"EEPD1","blue"
"EPDR1","blue"
"TRGC1","brown"
"CDK13","turquoise"
"TNS3","blue"
"LAT2","blue"
"NCF1","blue"
"FGL2","blue"
"PTPN12","blue"
"CD36","blue"
"SEMA3C","blue"
"HGF","blue"
"ABCB4","yellow"
"STEAP4","blue"
"CDK14","blue"
"FZD1","blue"
